B.B. King	It Had To Be You	Gus Kahn
B.B. King	Is You Is, Or Is You Ain't (My Baby)	Lovie Austin
B.B. King	Is You Is, Or Is You Ain't (My Baby)	Louis Jordan
B.B. King	Into The Night	Calvine Newborne
B.B. King	Inflation Blues	Alger "Texas" Alexander
B.B. King	Inflation Blues	Louis Jordan
B.B. King	Inflation Blues	T. Southern
B.B. King	If You Love Me	Van Morrison
B.B. King	If I Lost You	B.B. King
B.B. King	If I Lost You	Jules Taub
B.B. King	I Wonder Why	B.B. King
B.B. King	I Wonder Why	Joe Josea
B.B. King	I Was Blind	B.B. King
B.B. King	I Was Blind	Joe Josea
B.B. King	I Want You So Bad	B.B. King
B.B. King	I Wanna Be	Doyle Bramhall II
B.B. King	I Wanna Be	Charlie Sexton
B.B. King	I've Got Some Outside Help I Don't Need	McCrakin
B.B. King	I've Got Papers On You	B.B. King
B.B. King	I've Got Papers On You	Jules Taub
B.B. King	I've Got A Right To Love My Baby	B.B. King
B.B. King	I've Got A Right To Love My Baby	Sam Ling
B.B. King	I've Always Been Lonely	Will Jennings
B.B. King	I've Always Been Lonely	Joe Sample
B.B. King	I Stay In The Mood	B.B. King
B.B. King	I Stay In The Mood	Joe Josea
B.B. King	I Pity The Fool	Deadric Malone
B.B. King	I Need You Baby	B.B. King
B.B. King	I Need You Baby	Jules Taub
B.B. King	I'm Putting All My Eggs In One Basket	Irving Berlin
B.B. King	I'm Moving On	Will Jennings
B.B. King	I'm Moving On	Joe Sample
B.B. King	I'm King	B.B. King
B.B. King	I'm King	Jules Taub
B.B. King	I'm In the Wrong Business	A.C. Reed
B.B. King	(I'm Gonna) Quit My Baby	B.B. King
B.B. King	(I'm Gonna) Quit My Baby	Sam Ling
B.B. King	I'm Gonna Move To The Outskirts Of Town	Will Weldon
B.B. King	I'm Gonna Move To The Outskirts Of Town	possibly co-written with Andy Razaf
B.B. King	I'm Gonna Do What They Do To Me	B.B. King
B.B. King	I Love You So	B.B. King
B.B. King	I Love You So	Jules Taub
B.B. King	I'll Survive	B.B. King
B.B. King	I'll Survive	Sam Ling
B.B. King	I Like To Live The Love	Dave Crawford
B.B. King	I Like To Live The Love	Charles Mann
B.B. King	I Know	Barbara George
B.B. King	I Know What Your Putting Down	Bud Allen
B.B. King	I Know What Your Putting Down	Louis Jordan
B.B. King	I Just Can't Leave Your Love Alone	Will Jennings
B.B. King	I Just Can't Leave Your Love Alone	Joe Sample
B.B. King	I Gotta Move Out Of This Neighborhood	B.B. King
B.B. King	I Got To Leave This Woman	B.B. King
B.B. King	I Done Got Wise	B.B. King
B.B. King	I Don't Want You Cutting Off Your Hair	Johnson
B.B. King	I'd Be A Legend In My Time	Don Gibson
